지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
강남구,201902,28,15,2,0,8,0,1,0,5,0,5,3,1,4,40,0
강남구,201903,17,9,1,5,8,0,1,0,8,0,2,8,0,2,31,0
강남구,201904,27,11,1,3,6,2,0,1,11,0,2,4,0,1,37,0
강남구,201905,21,22,0,1,10,1,0,4,15,0,1,6,0,2,55,0
강남구,201906,26,24,0,3,6,0,0,0,3,0,2,6,0,4,36,0
강남구,201907,17,14,1,3,8,1,0,2,4,0,1,1,0,4,32,0
강남구,201908,26,20,3,2,4,1,0,4,12,0,1,4,0,5,36,0
강남구,201909,18,10,3,1,7,1,0,5,6,0,3,6,0,2,35,1
강남구,201910,19,16,1,2,4,0,3,1,9,0,1,0,0,0,32,1
강남구,201911,12,14,3,3,10,0,0,2,9,1,2,4,0,6,48,0
강남구,201912,17,29,1,3,2,1,1,0,8,0,3,4,0,2,35,0
강남구,202001,35,19,2,2,17,0,0,4,9,1,3,7,0,4,61,0
강남구,202002,22,8,3,3,5,0,1,0,3,0,3,2,0,1,34,0
강남구,202003,25,15,1,1,8,0,0,2,8,0,6,8,0,1,57,0
강남구,202004,21,15,1,2,8,0,0,1,11,0,4,1,0,5,40,0
강남구,202005,19,10,1,0,4,1,0,2,7,0,2,4,0,2,29,0
강남구,202006,22,21,3,0,3,1,1,1,10,0,3,4,0,2,42,0
강남구,202007,20,12,1,1,5,0,0,1,9,0,5,1,1,3,47,0
강남구,202008,16,16,2,1,8,1,0,0,6,1,4,0,0,0,35,0
강남구,202009,20,19,1,3,6,0,0,1,6,0,1,6,0,3,46,0
강남구,202010,24,18,2,4,7,1,0,1,8,0,4,4,0,0,48,0
강남구,202011,21,15,0,2,11,0,0,5,6,1,1,4,0,4,47,0
강남구,202012,23,16,3,2,4,1,0,4,10,0,2,8,0,1,47,0
강남구,202101,16,16,1,1,9,2,0,1,8,0,4,1,0,5,43,0
강남구,202102,16,14,1,4,6,1,0,2,5,0,3,2,0,1,33,0
강남구,202103,21,19,0,3,7,0,1,0,6,1,2,1,2,2,41,0
강남구,202104,22,18,1,3,7,2,0,1,8,1,4,4,0,1,52,0
강남구,202105,25,17,2,1,10,0,0,1,5,0,4,4,0,2,37,0
강남구,202106,13,19,3,1,6,1,0,3,6,0,0,5,0,1,57,0
강남구,202107,13,28,0,0,5,1,0,6,8,0,9,9,1,0,39,2
강남구,202108,14,21,1,0,6,0,0,1,9,0,2,8,0,1,34,0
강남구,202109,17,27,1,0,11,0,0,2,4,1,2,8,1,1,50,0
강남구,202110,3,0,0,0,0,0,0,0,1,0,1,1,0,0,7,0
강동구,201902,0,3,1,0,5,0,0,1,0,1,0,3,0,0,9,0
강동구,201903,4,3,0,1,1,0,0,0,0,0,1,7,0,0,19,0
강동구,201904,1,2,0,1,2,1,0,0,3,2,1,6,0,1,23,2
강동구,201905,1,7,1,0,4,0,0,1,1,0,1,5,0,1,24,0
강동구,201906,1,2,0,0,4,0,0,0,1,2,1,2,0,0,22,0
강동구,201907,0,7,0,1,0,0,0,0,0,1,0,7,0,0,18,0
강동구,201908,2,3,2,1,0,2,0,0,0,0,0,3,0,0,12,0
강동구,201909,1,6,1,0,5,0,0,0,3,0,0,4,0,0,16,0
강동구,201910,1,5,0,0,4,0,0,0,0,0,1,2,0,1,22,0
강동구,201911,1,5,0,1,3,0,0,0,2,0,3,6,0,0,17,0
강동구,201912,1,1,0,0,3,1,0,0,1,1,2,8,0,0,15,1
강동구,202001,0,5,0,1,3,1,1,1,1,0,0,5,0,0,20,0
강동구,202002,1,8,0,0,6,0,1,0,0,0,0,0,0,0,8,3
강동구,202003,3,3,0,0,2,0,0,0,0,2,3,3,0,2,17,0
강동구,202004,0,7,0,2,0,2,1,0,3,3,1,3,0,0,11,0
강동구,202005,0,4,0,0,3,0,0,1,0,1,0,3,0,0,7,0
강동구,202006,2,2,0,0,2,0,0,0,2,0,1,3,0,0,10,1
강동구,202007,0,1,0,0,0,0,1,0,2,0,1,5,0,1,17,0
강동구,202008,1,3,0,0,2,0,0,0,2,1,2,6,0,0,19,1
강동구,202009,0,4,0,1,2,1,0,0,1,0,1,8,0,0,10,0
강동구,202010,0,3,1,1,2,0,0,0,1,2,0,1,0,0,24,1
강동구,202011,1,4,0,0,5,0,0,0,0,1,1,4,0,0,19,0
강동구,202012,1,3,0,1,3,0,0,0,0,0,3,6,0,0,13,0
강동구,202101,3,2,0,2,0,1,1,0,2,0,0,1,0,0,14,2
강동구,202102,0,3,0,0,2,0,0,0,0,0,2,3,0,0,15,0
강동구,202103,1,5,1,0,2,0,2,0,0,1,0,6,0,0,19,0
강동구,202104,1,8,0,0,3,0,0,0,0,0,1,4,1,0,24,0
강동구,202105,4,4,0,0,6,0,1,0,2,1,1,10,0,0,18,0
강동구,202106,2,9,0,0,3,0,0,0,1,0,1,7,0,0,19,0
강동구,202107,1,3,0,2,3,0,0,0,0,1,1,6,0,1,20,0
강동구,202108,0,5,1,1,6,0,1,0,4,1,1,1,0,0,17,0
강동구,202109,1,5,0,0,1,0,0,1,2,0,2,4,0,0,16,0
강동구,202110,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
강북구,201902,0,1,0,1,1,1,0,0,2,0,0,0,0,0,6,0
강북구,201903,1,5,0,0,3,0,1,0,0,0,1,6,0,1,8,0
강북구,201904,0,3,0,1,0,0,0,0,2,2,1,3,0,0,7,0
강북구,201905,0,4,0,0,2,0,0,0,0,0,0,3,0,0,10,0
강북구,201906,1,2,0,3,0,1,0,0,4,0,1,3,0,0,7,0
강북구,201907,0,4,0,0,2,0,0,0,1,0,0,4,0,0,7,0
강북구,201908,0,4,0,0,1,0,1,0,2,0,1,3,0,0,9,0
강북구,201909,0,5,0,0,2,0,0,0,0,0,1,3,0,0,10,0
강북구,201910,2,4,0,1,0,0,3,0,1,0,1,8,0,1,13,0
강북구,201911,1,4,0,0,1,0,0,0,2,1,1,6,0,0,18,0
강북구,201912,0,6,0,1,0,0,0,0,1,0,0,4,0,0,8,0
강북구,202001,0,3,1,0,0,0,0,0,2,2,2,3,0,1,7,0
강북구,202002,0,2,0,1,2,0,0,0,2,0,0,6,0,0,3,0
강북구,202003,0,3,0,0,4,0,0,0,0,0,1,5,0,0,9,1
강북구,202004,0,6,0,4,1,0,0,0,0,1,1,5,0,0,5,0
강북구,202005,0,1,0,0,1,0,1,0,0,1,0,1,0,1,4,0
강북구,202006,0,7,0,1,2,0,0,0,1,0,0,0,0,0,10,0
강북구,202007,0,0,0,0,1,0,1,0,0,0,1,3,0,1,10,0
강북구,202008,0,5,0,1,3,2,1,0,1,1,0,2,0,1,7,0
강북구,202009,0,3,1,0,1,0,2,0,0,0,0,4,0,0,9,0
강북구,202010,0,7,0,0,2,0,0,0,0,0,0,1,0,0,10,0
강북구,202011,1,5,1,1,4,0,0,0,2,0,1,5,0,1,13,0
강북구,202012,3,9,0,0,2,1,0,0,0,1,0,6,0,0,12,0
강북구,202101,0,6,0,0,3,0,0,0,0,0,0,3,0,0,7,1
강북구,202102,0,5,1,0,0,0,0,0,0,2,0,3,0,0,10,0
강북구,202103,1,4,1,0,4,2,1,0,1,1,0,4,0,0,12,0
강북구,202104,0,7,0,1,3,0,2,0,1,1,0,7,0,0,19,0
강북구,202105,14,27,0,14,31,1,1,0,4,12,2,49,0,1,106,3
강북구,202106,1,9,0,0,1,0,0,0,1,0,1,5,0,0,19,1
강북구,202107,2,3,0,0,1,0,0,0,2,0,0,0,0,0,14,1
강북구,202108,1,3,0,0,1,0,0,0,1,2,0,7,0,0,10,0
강북구,202109,2,5,0,0,0,0,0,0,1,0,2,3,0,0,7,1
강북구,202110,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0
강서구,201902,5,3,0,0,3,0,0,1,2,4,1,2,0,2,16,0
강서구,201903,5,1,0,0,1,1,1,0,1,1,1,4,0,0,13,0
강서구,201904,2,1,1,0,3,0,0,1,2,2,0,6,0,0,14,0
강서구,201905,5,2,0,0,4,0,0,1,5,7,1,4,0,0,19,0
강서구,201906,4,4,0,0,0,1,0,0,1,2,0,6,0,0,13,0
강서구,201907,2,1,0,0,5,0,0,0,2,2,1,5,0,0,27,0
강서구,201908,4,1,0,0,4,0,0,1,3,3,0,5,0,0,18,1
강서구,201909,3,0,1,0,5,0,0,1,0,0,2,7,0,0,16,1
강서구,201910,4,1,0,0,5,0,0,0,3,3,2,6,0,0,35,0
강서구,201911,4,1,0,0,1,0,0,1,4,4,4,6,0,0,28,0
강서구,201912,7,0,1,0,5,0,0,0,4,7,1,11,0,0,36,0
강서구,202001,4,4,0,0,6,1,0,0,2,4,0,6,0,0,20,0
강서구,202002,3,1,1,0,3,1,1,0,1,4,1,4,0,0,17,0
강서구,202003,4,2,0,0,3,0,1,0,4,6,4,3,0,0,19,0
강서구,202004,3,2,0,0,2,1,0,0,4,3,0,3,0,0,18,1
강서구,202005,3,0,0,0,0,0,0,0,9,0,0,5,0,0,14,1
강서구,202006,1,0,0,0,2,0,1,0,5,2,0,5,0,0,21,1
강서구,202007,3,2,0,0,2,0,0,0,5,4,4,2,0,0,22,0
강서구,202008,3,1,0,1,3,0,0,0,4,3,3,5,0,1,38,0
강서구,202009,4,3,0,0,2,0,0,0,2,3,3,5,0,0,27,0
강서구,202010,3,2,0,0,2,1,1,2,3,3,2,8,0,1,32,0
강서구,202011,5,2,0,0,2,1,0,2,4,4,2,7,0,2,20,1
강서구,202012,5,1,0,0,2,0,1,0,1,5,0,6,0,0,46,1
강서구,202101,4,3,0,0,1,0,0,1,1,0,0,2,0,1,29,0
강서구,202102,4,2,0,0,1,1,0,0,9,2,0,4,0,0,27,1
강서구,202103,4,1,0,0,3,0,0,1,5,5,1,2,0,0,27,0
강서구,202104,3,3,0,0,5,0,0,0,4,4,4,5,0,0,28,0
강서구,202105,6,2,0,0,5,0,1,0,3,7,2,11,0,0,34,0
강서구,202106,9,5,0,0,3,1,0,0,2,3,0,4,0,0,22,0
강서구,202107,7,1,0,1,1,0,0,1,4,1,3,5,0,0,28,0
강서구,202108,4,3,0,0,4,0,0,1,6,3,3,6,0,0,39,2
강서구,202109,6,2,0,0,3,0,0,0,4,0,0,8,0,2,33,1
강서구,202110,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
관악구,201902,2,2,0,0,1,2,2,1,1,1,0,5,0,1,14,0
관악구,201903,2,2,0,1,3,0,0,0,3,1,1,7,0,0,17,0
관악구,201904,3,0,0,0,4,0,2,1,3,1,0,9,0,0,15,3
관악구,201905,1,2,1,0,6,1,0,1,3,3,1,8,0,0,16,0
관악구,201906,2,1,0,0,3,0,2,0,1,0,1,8,0,0,12,0
관악구,201907,4,2,0,0,1,0,0,0,4,2,1,5,0,0,15,0
관악구,201908,2,1,0,0,3,0,3,1,1,1,1,5,0,1,21,0
관악구,201909,1,0,1,1,2,0,0,1,2,1,0,3,0,0,16,0
관악구,201910,4,3,0,0,6,0,2,0,1,1,2,4,0,0,14,0
관악구,201911,5,4,1,1,5,1,0,0,1,2,0,8,0,0,21,0
관악구,201912,3,2,1,2,3,0,1,0,4,1,3,8,0,1,17,1
관악구,202001,5,2,1,3,5,1,1,1,1,2,2,8,0,1,18,1
관악구,202002,1,8,0,1,4,2,0,0,2,1,1,16,0,0,13,1
관악구,202003,7,2,0,2,3,0,0,0,0,2,0,7,0,0,17,0
관악구,202004,4,2,1,0,3,0,1,1,2,0,0,14,0,0,9,0
관악구,202005,3,1,0,0,1,0,1,0,0,1,1,6,0,0,12,1
관악구,202006,3,0,0,1,1,0,1,0,0,2,0,5,0,1,13,0
관악구,202007,3,3,0,0,8,0,0,0,3,1,0,2,0,0,11,0
관악구,202008,5,3,0,0,8,1,2,1,0,7,2,9,0,0,10,2
관악구,202009,5,4,0,0,2,0,0,0,1,2,1,10,0,0,24,0
관악구,202010,1,3,0,1,7,0,2,1,1,3,1,8,0,0,23,0
관악구,202011,3,1,1,0,3,0,0,1,2,0,1,5,0,0,18,0
관악구,202012,5,0,0,0,5,1,0,0,1,1,0,2,0,0,24,0
관악구,202101,4,2,0,0,4,0,1,0,2,0,2,6,0,1,24,0
관악구,202102,2,2,0,0,2,0,1,0,2,0,0,1,0,0,18,0
관악구,202103,3,1,0,2,7,0,1,0,3,0,3,5,0,1,22,0
관악구,202104,4,5,0,0,4,0,0,0,2,3,2,7,0,0,32,0
관악구,202105,6,5,0,0,5,0,2,2,6,3,1,12,0,0,17,0
관악구,202106,7,2,0,0,8,0,0,0,1,1,4,6,0,0,22,1
관악구,202107,4,4,0,0,9,0,1,1,1,1,1,3,0,0,24,2
관악구,202108,6,3,1,1,9,1,1,2,0,1,1,9,0,0,17,0
관악구,202109,7,1,0,1,7,1,0,0,2,2,1,12,0,0,23,0
관악구,202110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
광진구,201902,5,2,0,0,5,0,0,0,0,2,2,10,0,0,15,0
광진구,201903,0,2,0,3,3,0,0,0,4,0,3,7,0,0,11,0
광진구,201904,2,4,0,2,4,0,0,0,3,0,4,5,0,0,20,0
광진구,201905,1,3,1,0,2,0,0,2,5,1,2,6,0,1,16,0
광진구,201906,3,0,0,1,5,0,0,0,2,1,3,3,0,0,8,0
광진구,201907,1,3,0,1,3,0,0,0,1,0,0,8,0,0,13,0
광진구,201908,2,1,0,0,4,0,0,0,1,0,2,4,0,0,13,0
광진구,201909,1,2,1,1,3,0,0,0,0,1,0,5,0,0,13,0
광진구,201910,3,3,1,0,5,0,0,0,1,0,2,8,0,1,14,0
광진구,201911,4,4,3,1,2,0,0,0,1,0,2,9,0,0,11,0
광진구,201912,1,2,0,4,2,1,0,0,3,0,3,9,1,0,9,0
광진구,202001,4,2,0,1,5,2,0,0,4,1,2,3,0,0,7,0
광진구,202002,2,2,0,0,6,0,0,0,2,0,0,3,0,0,9,0
광진구,202003,2,3,0,1,4,0,0,0,3,0,1,4,0,0,12,0
광진구,202004,4,2,0,1,2,0,0,0,1,0,0,7,0,0,7,0
광진구,202005,3,2,1,1,3,0,0,0,3,1,0,1,0,0,13,0
광진구,202006,1,1,1,2,1,0,0,0,1,0,3,2,0,0,8,0
광진구,202007,3,1,0,0,3,0,0,1,2,0,1,7,0,0,13,0
광진구,202008,2,6,1,1,2,0,0,0,4,2,1,1,0,0,8,0
광진구,202009,0,2,1,1,4,0,0,0,1,0,1,3,0,1,8,0
광진구,202010,3,4,0,0,3,0,0,0,1,0,2,9,0,0,17,0
광진구,202011,2,7,1,1,2,0,0,1,0,1,2,9,0,0,19,0
광진구,202012,5,4,1,0,8,0,0,0,2,3,1,3,1,0,22,0
광진구,202101,2,2,0,1,1,0,0,0,1,0,1,1,0,0,11,1
광진구,202102,1,1,0,0,4,0,0,1,3,0,0,3,0,0,7,0
광진구,202103,1,4,0,1,5,0,0,0,3,0,3,5,0,0,4,0
광진구,202104,1,8,0,0,5,2,0,1,6,1,3,10,0,0,25,0
광진구,202105,1,3,0,0,2,0,0,0,0,0,0,8,0,0,17,0
광진구,202106,3,5,0,1,4,0,0,0,2,0,0,4,0,0,10,0
광진구,202107,3,6,0,2,2,0,0,0,2,0,1,5,0,0,16,0
광진구,202108,2,5,1,1,2,0,0,0,2,2,2,1,0,0,8,1
광진구,202109,3,3,1,1,6,0,0,0,5,0,0,5,0,0,13,0
광진구,202110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
구로구,201902,0,2,1,0,1,0,0,0,1,0,4,1,0,1,7,0
구로구,201903,0,1,1,0,1,0,0,0,0,1,5,9,0,0,10,0
구로구,201904,0,3,0,0,1,0,0,0,0,0,3,8,0,0,12,1
구로구,201905,1,10,0,1,2,0,0,1,1,1,2,3,0,1,19,1
구로구,201906,0,0,1,0,6,0,0,0,1,0,0,9,0,2,18,0
구로구,201907,2,2,0,0,4,0,0,0,2,0,3,4,0,0,12,1
구로구,201908,1,1,0,0,1,0,0,0,4,0,6,6,0,0,12,0
구로구,201909,6,14,0,2,1,0,0,0,2,0,5,6,0,1,24,0
구로구,201910,0,5,0,0,5,0,0,1,4,1,1,7,0,0,16,0
구로구,201911,0,1,0,0,1,0,0,0,0,0,5,8,0,1,24,0
구로구,201912,4,4,0,0,2,0,0,1,0,0,2,4,0,0,16,1
구로구,202001,0,1,0,0,2,0,0,0,2,0,2,3,0,0,9,0
구로구,202002,2,5,0,1,2,0,0,0,1,2,2,2,0,0,9,1
구로구,202003,2,2,0,0,1,0,0,0,2,0,3,4,0,1,12,0
구로구,202004,1,3,0,0,5,0,0,0,1,0,2,7,0,0,18,0
구로구,202005,0,0,0,0,0,0,0,1,1,0,1,5,0,0,6,0
구로구,202006,0,5,0,0,1,0,0,0,1,0,2,4,0,0,8,0
구로구,202007,1,4,0,0,10,1,0,2,0,2,4,9,0,1,28,2
구로구,202008,1,4,0,1,5,0,0,1,1,0,2,7,0,0,14,0
구로구,202009,1,4,0,0,1,0,0,0,2,0,2,3,0,0,13,0
구로구,202010,1,6,0,1,2,0,0,1,0,1,3,5,0,0,15,0
구로구,202011,2,2,0,0,4,0,0,0,1,0,1,10,0,0,19,1
구로구,202012,0,3,0,0,6,0,0,0,0,0,4,6,0,0,11,1
구로구,202101,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0
구로구,202102,1,5,0,0,2,2,1,0,1,0,0,0,0,1,9,0
구로구,202103,1,11,0,2,18,1,0,0,2,0,6,34,0,2,28,1
구로구,202104,3,6,0,0,3,0,0,0,4,0,4,14,0,0,29,0
구로구,202105,2,5,0,0,6,0,0,0,1,0,3,3,0,1,23,0
구로구,202106,1,3,1,0,2,0,0,1,1,0,5,7,0,0,17,0
구로구,202107,6,11,1,1,11,1,0,0,2,4,2,47,1,0,70,0
구로구,202108,0,3,0,0,2,0,0,0,1,0,4,1,0,0,20,0
구로구,202109,0,5,0,0,3,0,0,1,0,0,2,3,0,0,19,0
구로구,202110,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0
금천구,201902,3,3,0,1,0,0,2,0,1,2,0,2,0,0,16,2
금천구,201903,1,0,0,1,1,0,0,0,2,0,2,1,0,0,4,0
금천구,201904,0,0,0,0,3,0,1,0,0,1,2,5,0,0,8,0
금천구,201905,1,1,0,0,3,0,0,0,0,2,0,3,0,1,6,0
금천구,201906,1,1,0,0,1,0,1,0,0,1,1,2,0,0,9,0
금천구,201907,4,0,0,0,1,0,3,1,1,0,0,2,0,0,11,0
금천구,201908,2,3,0,1,1,0,2,0,0,1,0,3,0,0,10,1
금천구,201909,0,0,0,0,2,1,1,0,0,0,2,3,0,0,13,0
금천구,201910,0,2,0,0,4,0,0,0,1,3,0,1,0,0,10,0
금천구,201911,0,0,0,1,2,0,2,0,1,1,0,1,0,0,7,0
금천구,201912,2,1,0,0,1,0,1,1,2,0,3,3,0,0,11,0
금천구,202001,0,0,0,0,2,0,2,0,0,1,0,5,0,1,14,0
금천구,202002,0,4,0,0,0,0,0,0,2,1,1,6,0,0,8,0
금천구,202003,0,5,0,0,0,0,1,1,0,0,0,3,0,0,8,1
금천구,202004,0,3,0,0,1,1,0,0,1,1,4,3,0,1,6,0
금천구,202005,0,3,0,0,1,0,0,0,2,0,1,3,0,0,4,0
금천구,202006,1,1,0,0,1,0,1,0,0,2,2,1,0,0,5,0
금천구,202007,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7,0
금천구,202008,1,0,0,1,1,1,2,0,1,1,0,5,0,0,5,1
금천구,202009,1,4,0,1,2,0,2,0,1,0,2,2,0,0,5,1
금천구,202010,0,2,0,0,3,1,0,0,1,1,2,2,0,0,12,0
금천구,202011,1,2,0,0,1,1,1,0,2,3,2,3,0,0,13,0
금천구,202012,0,0,0,1,1,0,1,0,0,1,1,5,0,0,11,0
금천구,202101,0,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0
금천구,202102,0,1,0,0,0,0,0,1,1,1,1,1,0,0,8,0
금천구,202103,1,2,0,2,1,0,0,0,0,0,0,2,0,0,5,1
금천구,202104,2,3,0,1,1,0,0,0,0,0,2,4,0,1,15,0
금천구,202105,0,4,0,0,1,0,3,0,0,0,3,3,0,0,12,0
금천구,202106,0,1,0,0,1,0,0,0,0,0,0,4,0,0,15,0
금천구,202107,0,3,0,0,1,1,3,0,0,0,1,6,0,0,8,0
금천구,202108,0,3,0,1,1,0,2,0,1,0,1,3,0,0,6,0
금천구,202109,4,5,0,0,1,0,1,0,1,2,2,5,0,1,9,0
금천구,202110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
노원구,201902,2,1,0,2,4,0,0,0,0,0,1,7,0,1,16,1
노원구,201903,4,7,0,2,8,0,0,0,3,0,1,9,0,2,24,1
노원구,201904,0,4,0,0,6,0,0,0,1,1,0,8,0,0,15,1
노원구,201905,0,2,1,1,1,0,0,0,2,0,0,7,0,0,14,1
노원구,201906,0,1,0,1,5,0,0,0,0,0,1,8,0,1,12,1
노원구,201907,1,3,0,0,4,0,0,1,1,0,0,7,0,0,8,0
노원구,201908,2,2,0,0,1,0,0,0,1,0,0,3,0,0,17,0
노원구,201909,0,3,0,0,4,0,0,0,3,0,0,5,0,0,11,0
노원구,201910,2,3,0,0,1,0,1,0,3,0,3,5,0,0,13,1
